sound_corpus,text_corpus,sound_encoder,text_encoder,mapping_method,sound_preprocessing,normalization,dim,distance_metric,pairwise_distance,wasserstein_distance,CLAP_distance,sound_silhouette_score,sound_calinski_harabasz_score,sound_davies_bouldin_score,text_silhouette_score,text_calinski_harabasz_score,text_davies_bouldin_score,combined_silhouette_score,combined_calinski_harabasz_score,combined_davies_bouldin_score,domain_silhouette_score,domain_calinski_harabasz_score,domain_davies_bouldin_score,k
anonymous_corpus,test,MuQ,fastText,identity,full,standard,2,euclidean,4.078267507087841,2.962587618633543,0.7669771456183532,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,full,standard,2,cosine,0.1890542478243971,0.0848980846574767,0.2670319967626005,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,full,standard,5,euclidean,7.495324693505684,4.460693425519047,0.7703149320987555,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,full,standard,5,cosine,0.4327067482925493,0.0928502959111914,0.2797868469285908,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,full,standard,10,euclidean,13.262555122304272,8.320943722017127,0.5319233453426606,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,full,standard,10,cosine,0.3033927265931327,0.0765678174597148,0.2335022359770058,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,1000,standard,2,euclidean,3.037018988178281,2.682024001746269,0.4954613780364012,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,1000,standard,2,euclidean,3.037020115057153,2.6820250362451565,0.4747880572691942,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,1000,standard,2,cosine,0.1071000990196063,0.0308406788586638,0.2487958055426151,,,,,,,,,,,,,0.0
anonymous_corpus,test,MuQ,fastText,identity,1000,standard,5,euclidean,7.463892766888712,4.56652487601165,0.5378580829271904,,,,,,,,,,,,,0.0
